name,handedness,height,weight,avg,HR,count
Tom Brown,R,73,170,0,0,1
Denny Lemaster,R,73,182,0.13,4,1
Joe Nolan,L,71,175,0.263,27,1
Denny Doyle,L,69,175,0.25,16,1
Jose Cardenal,R,70,150,0.275,138,1
Mike Ryan,R,74,205,0.193,28,1
Fritz Peterson,B,72,185,0.159,2,1
Dick Bertell,R,72,200,0.25,10,1
Rod Kanehl,R,73,180,0.241,6,1
Ozzie Osborn,R,74,195,0,0,1
John LaRose,L,73,185,0,0,1
Jeff Byrd,R,75,195,0,0,1
Juan Bonilla,R,69,170,0.256,7,1
Frank Tepedino,L,71,185,0.241,6,1
Jerry Kutzler,L,73,175,0,0,1
Rick Wise,R,73,180,0.195,15,1
Darrell Evans,L,74,200,0.248,414,1
Buck Martinez,R,70,190,0.225,58,1
John Wockenfuss,R,72,190,0.262,86,1
Tommy McCraw,L,72,183,0.246,75,1
Jeff Barkley,B,75,185,0,0,1
Eric Wilkins,R,73,190,0,0,1
Britt Burns,L,77,215,0,0,1
Lee Lacy,R,73,175,0.286,91,1
Pete Rose,B,71,192,0.303,160,1
Danny Walton,R,72,195,0.223,28,1
Bobby Cox,R,71,180,0.225,9,1
Brad Wellman,R,72,170,0.231,6,1
Jeff Newman,R,74,215,0.224,63,1
Pedro Gonzalez,R,72,176,0.244,8,1
Nardi Contreras,B,74,193,0,0,1
Tommie Reynolds,R,74,190,0.226,12,1
Gene Clines,R,69,170,0.277,5,1
Jim Hickman,R,75,192,0.252,159,1
Jack Billingham,R,76,195,0.111,0,1
Jerry Buchek,R,71,185,0.22,22,1
Ivan DeJesus,R,71,175,0.254,21,1
Gary Nolan,R,74,197,0.138,1,1
Gil Patterson,R,73,185,0,0,1
Fred Whitfield,L,73,190,0.253,108,1
Larry Dierker,R,76,215,0.136,4,1
Dave Skaggs,R,74,200,0.241,3,1
Dick Ruthven,R,75,190,0.183,1,1
Jerry Garvin,L,75,195,0,0,1
Steve Eddy,R,74,185,0,0,1
Dave Kingman,R,78,210,0.236,442,1
Eric Soderholm,R,71,187,0.264,102,1
Kevin Mmahat,L,77,220,0,0,1
Ed Brinkman,R,72,170,0.224,60,1
Wayne Garrett,L,71,175,0.239,61,1
Tony Muser,L,74,180,0.259,7,1
Jim Siwy,R,76,200,0,0,1
Bud Anderson,R,75,210,0,0,1
Ted Ford,R,70,180,0.219,17,1
Kevin Stanfield,L,72,190,0,0,1
Jim Lyttle,L,72,180,0.248,9,1
John Butcher,R,76,185,0,0,1
Jerry Ujdur,R,73,195,0,0,1
Scot Thompson,L,75,195,0.262,5,1
Gene Locklear,L,70,165,0.274,9,1
Bo Diaz,R,71,185,0.255,87,1
Bump Wills,B,69,172,0.266,36,1
Brian Denman,R,76,205,0,0,1
Pat Putnam,L,72,205,0.255,63,1
Kurt Bevacqua,R,72,180,0.236,27,1
Bob Fallon,L,75,200,0,0,1
Syd O'Brien,R,73,185,0.23,24,1
Chris Chambliss,L,73,195,0.279,185,1
Tom Satriano,L,73,185,0.225,21,1
Jeffrey Leonard,R,74,200,0.266,144,1
Dal Maxvill,R,71,157,0.217,6,1
Steve Curry,R,78,217,0,0,1
Cesar Tovar,R,69,155,0.278,46,1
Mickey Lolich,B,73,170,0.11,0,1
Ray Chadwick,B,74,180,0,0,1
Jack Heidemann,R,72,175,0.211,9,1
Rich Rollins,R,70,185,0.269,77,1
Walt Bond,L,79,228,0.256,41,1
Merv Rettenmund,R,70,190,0.271,66,1
Bryan Clutterbuck,R,76,223,0,0,1
Byron Browne,R,74,190,0.236,30,1
Hector Torres,R,72,175,0.216,18,1
Walt Williams,R,66,165,0.27,33,1
Jerry Koosman,R,74,205,0.119,2,1
Steve Lombardozzi,R,72,175,0.233,20,1
Joe Azcue,R,72,190,0.252,50,1
Elliott Maddox,R,71,180,0.261,18,1
Omar Moreno,L,74,180,0.252,37,1
Julian Javier,R,73,175,0.257,78,1
Tony Ferreira,L,73,160,0,0,1
Elio Chacon,R,69,160,0.232,4,1
Rusty Torres,B,70,175,0.212,35,1
John Stearns,R,72,185,0.26,46,1
Larry Brown,R,70,160,0.233,47,1
Tommy Dean,R,72,165,0.18,4,1
Bryan Oelkers,L,75,192,0,0,1
Kevin Bearse,L,74,195,0,0,1
Marty Martinez,B,72,170,0.243,0,1
Bruce Boisclair,L,74,185,0.263,10,1
Ken Singleton,B,76,210,0.282,246,1
Frank White,R,71,165,0.255,160,1
Jim Fairey,L,70,190,0.235,7,1
Jose Roman,R,72,175,0,0,1
Tom Brookens,R,70,165,0.246,71,1
Gary Thomasson,L,73,180,0.249,61,1
Mike Trujillo,R,73,180,0,0,1
Albert Williams,R,76,190,0,0,1
Oswaldo Peraza,R,76,172,0,0,1
Otto Velez,R,72,170,0.251,78,1
Tony Scott,B,72,164,0.249,17,1
Ray Oyler,R,71,165,0.175,15,1
Barry Cort,R,77,210,0,0,1
Floyd Robinson,L,69,175,0.283,67,1
Steve Jeltz,B,71,180,0.21,5,1
Lou Brock,L,71,170,0.293,149,1
Bill Wilkinson,R,70,160,0,0,1
Joe Lovitto,B,72,185,0.216,4,1
Mike Loynd,R,76,210,0,0,1
Wayne Comer,R,70,175,0.229,16,1
Dave Collins,B,71,175,0.272,32,1
Ed Spiezio,R,71,180,0.238,39,1
Rico Petrocelli,R,72,175,0.251,210,1
Johnny Lewis,L,73,189,0.227,22,1
Dick Simpson,R,76,176,0.207,15,1
Ken Boswell,L,72,170,0.248,31,1
Ken McMullen,R,75,190,0.248,156,1
Randy Scarbery,B,73,185,0,0,1
Steve Swisher,R,74,205,0.216,20,1
Ben Callahan,R,79,230,0,0,1
Dick Howser,R,68,155,0.248,16,1
Manny Castillo,B,69,160,0.242,3,1
Mike Ramsey,B,73,170,0.24,2,1
Willie Crawford,L,73,197,0.268,86,1
Bobby Cuellar,R,71,188,0,0,1
Willie Norwood,R,72,185,0.242,18,1
Mike Jones,L,78,215,0,0,1
Jeff Stone,L,72,175,0.277,11,1
Ramon Manon,R,72,150,0,0,1
Joe Lahoud,L,73,198,0.223,65,1
Tim Flannery,L,71,175,0.255,9,1
Dave McKay,B,73,195,0.229,21,1
John Trautwein,R,75,205,0,0,1
Andy Replogle,R,77,205,0,0,1
Zach Crouch,L,75,180,0,0,1
Benny Ayala,R,73,185,0.251,38,1
Ron Romanick,R,76,195,0,0,1
Greg Gross,L,70,160,0.287,7,1
Bruce Tanner,L,75,220,0,0,1
Sal Butera,R,72,190,0.227,8,1
Jack Brohamer,L,70,165,0.245,30,1
Von Joshua,L,70,170,0.273,30,1
Eddie Milner,L,71,173,0.253,42,1
Johnny Jeter,R,73,180,0.244,18,1
Angel Salazar,R,72,180,0.212,2,1
Tony Oliva,L,73,175,0.304,220,1
Cito Gaston,R,75,190,0.256,91,1
Cookie Rojas,R,70,160,0.263,54,1
Rich Morales,R,71,170,0.195,6,1
Dave Ford,R,76,190,0,0,1
Dan Ford,R,73,185,0.27,121,1
Barry Raziano,B,70,175,0,0,1
Darryl Motley,R,69,196,0.243,44,1
Ozzie Virgil,R,73,180,0.243,98,1
Johnny Oates,L,71,188,0.25,14,1
Pat Underwood,L,72,175,0,0,1
Mike Phillips,L,72,170,0.24,11,1
Ron Santo,R,72,190,0.277,342,1
Jay Johnstone,L,73,175,0.267,102,1
Jim Ray Hart,R,71,185,0.278,170,1
Marc Hill,R,75,205,0.223,34,1
Joel McKeon,L,72,185,0,0,1
Danny Fife,R,75,175,0,0,1
Chico Salmon,R,70,160,0.249,31,1
Joe Niekro,R,73,185,0.156,1,1
Andy Etchebarren,R,73,190,0.235,49,1
Ken Berry,R,72,175,0.255,58,1
Dave Concepcion,R,74,155,0.267,101,1
Junior Moore,R,71,185,0.264,7,1
Mike Richardt,R,72,170,0.226,4,1
Chris Brown,R,72,185,0.269,38,1
Al Bumbry,L,68,170,0.281,54,1
Al Downing,R,71,175,0.127,2,1
Bob Didier,B,72,190,0.229,0,1
Jake Gibbs,L,72,180,0.233,25,1
Garry Hancock,L,72,175,0.247,12,1
Ed Kranepool,L,75,205,0.261,118,1
Rick Rhoden,R,75,195,0.238,9,1
Denny McLain,R,73,185,0.133,1,1
Chuck Hiller,L,71,170,0.243,20,1
Jorge Orta,L,70,170,0.278,130,1
Dave Cash,R,71,170,0.283,21,1
Bucky Dent,R,69,170,0.247,40,1
Andy Beene,R,75,205,0,0,1
Bruce Robbins,L,73,190,0,0,1
Tony Gonzalez,L,69,170,0.286,103,1
Leon Hooten,R,71,180,0,0,1
Larry Haney,R,74,195,0.215,12,1
Billy Conigliaro,R,72,180,0.256,40,1
Gary Roenicke,R,75,205,0.247,121,1
Don Lock,R,74,195,0.238,122,1
Billy Cowan,R,72,170,0.236,40,1
Billy Smith,B,74,185,0.23,17,1
Allan Ramirez,R,70,180,0,0,1
Tony Perez,R,74,175,0.279,379,1
Chuck Schilling,R,70,160,0.239,23,1
Hal McRae,R,71,180,0.29,191,1
Dave Roberts,R,75,215,0.239,49,1
Brian Allard,R,73,175,0,0,1
Jim Lefebvre,B,72,180,0.251,74,1
Fernando Arroyo,R,74,180,0,0,1
Gary Beare,R,76,205,0,0,1
Charlie Spikes,R,75,215,0.246,65,1
Brian Dubois,L,70,165,0,0,1
Steve Whitaker,L,72,180,0.23,24,1
Manny Jimenez,L,73,185,0.272,26,1
Chris Batton,R,76,195,0,0,1
Duffy Dyer,R,72,187,0.221,30,1
Ken Henderson,B,74,180,0.257,122,1
Vance Lovelace,L,77,205,0,0,1
Greg Thayer,R,71,182,0,0,1
Vern Fuller,R,73,170,0.232,14,1
Paul Hartzell,R,77,200,0,0,1
Wayne Gross,L,74,210,0.233,121,1
Mike Champion,R,72,185,0.229,2,1
Ralph Botting,L,72,195,0,0,1
Paul Casanova,R,76,180,0.225,50,1
Steve Rogers,R,74,175,0.138,0,1
Keith Creel,R,74,180,0,0,1
Terry Crowley,L,72,180,0.25,42,1
Horace Clarke,B,69,170,0.256,27,1
Lou Clinton,R,73,185,0.247,65,1
Larry Cox,R,70,178,0.221,12,1
Nate Colbert,R,74,190,0.243,173,1
Phil Roof,R,74,190,0.215,43,1
Chuck Hinton,R,73,180,0.264,113,1
Tim Cullen,R,73,185,0.22,9,1
Tim Harkness,L,74,182,0.235,14,1
Rick Bosetti,R,71,185,0.25,17,1
Ron Pruitt,R,72,185,0.269,12,1
George Foster,R,73,180,0.274,348,1
Jerry White,B,70,164,0.253,21,1
Angel Mangual,R,70,178,0.245,22,1
Ken Gerhart,R,72,190,0.221,24,1
Mike Hershberger,R,70,175,0.252,26,1
Jim French,L,68,180,0.196,5,1
Dave Roberts,L,75,195,0.194,7,1
Jim Mason,L,74,185,0.203,12,1
Mike Smith,R,75,180,0,0,1
Willie Smith,L,72,182,0.248,46,1
T.R. Bryden,R,76,190,0,0,1
Jose Arcia,R,75,170,0.215,1,1
Leon Durham,L,73,185,0.277,147,1
Tom Makowski,R,71,185,0,0,1
Paul Householder,B,72,180,0.236,29,1
Aurelio Rodriguez,R,70,180,0.237,124,1
Jimmy Stewart,B,72,165,0.237,8,1
Dick Phillips,L,72,180,0.229,12,1
Andres Thomas,R,73,170,0.234,42,1
Ed Crosby,L,74,175,0.22,0,1
Mike de la Hoz,R,71,175,0.251,25,1
Frank Taveras,R,72,155,0.255,2,1
Joe Nossek,R,72,178,0.228,3,1
Larry Stahl,L,72,175,0.232,36,1
Jose Cruz,L,72,170,0.284,165,1
Don Mason,L,71,160,0.205,3,1
Bill Robinson,R,74,189,0.258,166,1
Jim Umbarger,L,78,200,0,0,1
Sal Bando,R,72,195,0.254,242,1
George Mitterwald,R,74,195,0.236,76,1
Mike Darr,R,76,190,0,0,1
Craig Robinson,R,70,165,0.219,0,1
Bob Tillman,R,76,205,0.232,79,1
Curt Wardle,L,77,220,0,0,1
Pat Corrales,R,72,180,0.216,4,1
Mike Tyson,R,69,170,0.241,27,1
Rafael Landestoy,B,70,165,0.237,4,1
Duane Josephson,R,72,190,0.258,23,1
Duane Walker,L,72,185,0.229,24,1
Glenn Hubbard,R,69,150,0.244,70,1
Roger Freed,R,72,190,0.245,22,1
George Hendrick,R,75,195,0.278,267,1
Rod Carew,L,72,170,0.328,92,1
Bob Davis,R,72,180,0.197,6,1
Toby Harrah,R,72,175,0.264,195,1
Rick Manning,L,73,180,0.257,56,1
Israel Sanchez,L,69,170,0,0,1
Steve Burke,B,74,200,0,0,1
Gary Matthews,R,74,185,0.281,234,1
Cesar Geronimo,L,72,165,0.258,51,1
Billy Bryan,L,76,200,0.216,41,1
Terry Taylor,R,73,180,0,0,1
Terry Whitfield,L,73,197,0.281,33,1
Mario Mendoza,R,71,170,0.215,4,1
Fred Lynn,L,73,185,0.283,306,1
Larry Hisle,R,74,193,0.273,166,1
Graig Nettles,L,72,180,0.248,390,1
Randy Nosek,R,76,215,0,0,1
Dave Engle,R,75,210,0.262,31,1
Narciso Elvira,L,70,160,0,0,1
Mike Easler,L,72,190,0.293,118,1
Mark Smith,R,74,215,0,0,1
Paul Mitchell,R,73,195,0,0,1
Rick Sweet,B,73,200,0.234,6,1
Thurman Munson,R,71,190,0.292,113,1
Rick Monday,L,75,193,0.264,241,1
Mike Sadek,R,69,165,0.226,5,1
Mark Belanger,R,73,170,0.228,20,1
Ron Hunt,R,72,186,0.273,39,1
Joe Keough,L,72,185,0.246,9,1
Butch Edge,R,75,203,0,0,1
Vic Correll,R,70,185,0.229,29,1
Jackie Hernandez,R,71,165,0.208,12,1
Tony Solaita,L,72,210,0.255,50,1
U L Washington,B,71,175,0.251,27,1
Gary Mielke,R,75,185,0,0,1
Rick Henninger,R,78,225,0,0,1
Joe Foy,R,72,215,0.248,58,1
Ed Goodson,L,75,180,0.26,30,1
Mark Brown,B,74,190,0,0,1
Mickey Klutts,R,71,170,0.241,14,1
Leroy Stanton,R,73,195,0.244,77,1
Rafael Vasquez,R,72,160,0,0,1
Len Whitehouse,L,71,175,0,0,1
Danny Ainge,R,76,175,0.22,2,1
Adolfo Phillips,R,73,175,0.247,59,1
Marv Breeding,R,72,175,0.25,7,1
Steve Adkins,R,78,210,0,0,1
Dick McAuliffe,L,71,176,0.247,197,1
Joe Horlen,R,72,170,0.134,0,1
Glenn Burke,R,72,195,0.237,2,1
Tony Mack,R,70,177,0,0,1
Terry Humphrey,R,75,185,0.211,6,1
Bill Moran,R,76,210,0,0,1
Enzo Hernandez,R,68,155,0.224,2,1
Cesar Gutierrez,R,69,155,0.235,0,1
Coco Laboy,R,70,165,0.233,28,1
Ted Kubiak,B,72,175,0.231,13,1
Jim Morrison,R,71,175,0.26,112,1
Tom Gilles,R,73,185,0,0,1
Bobby Knoop,R,73,170,0.236,56,1
Bobby Brown,B,74,190,0.245,26,1
Tom Hutton,L,71,180,0.248,22,1
Ron Hodges,L,73,185,0.24,19,1
Rich Chiles,L,71,170,0.254,6,1
Tom Paciorek,R,76,215,0.282,86,1
Gary Woods,R,74,185,0.243,13,1
Bob Montgomery,R,73,195,0.258,23,1
Jeff Burroughs,R,73,200,0.261,240,1
Rusty Staub,L,74,190,0.279,292,1
Jim Norris,L,70,175,0.264,7,1
Oscar Gamble,L,71,160,0.265,200,1
Bob Kammeyer,R,76,210,0,0,1
George Vukovich,L,72,198,0.268,27,1
Joe Pactwa,L,71,185,0,0,1
Craig Reynolds,L,73,175,0.256,42,1
Paul Blair,R,72,168,0.25,134,1
Al Cowens,R,73,197,0.27,108,1
Al Oliver,L,72,195,0.303,219,1
Dave Hilton,R,71,191,0.213,6,1
Luis Alvarado,R,69,162,0.214,5,1
Larry Parrish,R,75,190,0.263,256,1
Woodie Fryman,R,75,197,0.138,2,1
Bob Randall,R,74,175,0.257,1,1
Jim Pankovits,R,70,170,0.25,9,1
Sherman Corbett,L,76,205,0,0,1
Carmen Fanzone,R,72,200,0.224,20,1
Gary Allenson,R,71,185,0.221,19,1
Milt May,L,72,190,0.263,77,1
Mike Vail,R,73,180,0.279,34,1
Nick Esasky,R,75,200,0.25,122,1
Jim Nettles,L,72,186,0.22,16,1
Lafayette Currence,B,71,175,0,0,1
Chris Cannizzaro,R,72,190,0.235,18,1
Larry Biittner,L,74,205,0.273,29,1
John Pawlowski,R,74,175,0,0,1
Mel Stottlemyre,R,73,178,0.16,7,1
Jack Hardy,R,74,175,0,0,1
Ron Musselman,R,74,185,0,0,1
Roy Smalley,B,73,185,0.257,163,1
Tony Chevez,R,71,177,0,0,1
Andy Messersmith,R,73,200,0.17,5,1
Richie Zisk,R,73,200,0.287,207,1
Dave Chalk,R,70,175,0.252,15,1
Don Baylor,R,73,190,0.26,338,1
John Vukovich,R,73,187,0.161,6,1
Danny Thompson,R,72,183,0.248,15,1
Joe Simpson,L,75,175,0.242,9,1
Bill Fahey,L,72,200,0.241,7,1
Doug Camilli,R,71,195,0.199,18,1
Bernie Allen,L,72,175,0.239,73,1
Bruce Bochy,R,75,205,0.239,26,1
Gary Ignasiak,R,71,185,0,0,1
Claudell Washington,L,72,190,0.278,164,1
John Donaldson,L,71,160,0.238,4,1
Mike Smithson,L,80,215,0,0,1
John Mayberry,L,75,215,0.253,255,1
Ken Reitz,R,72,180,0.26,68,1
Amos Otis,R,71,165,0.277,193,1
Gene Alley,R,70,160,0.254,55,1
Ted Sizemore,R,70,165,0.262,23,1
Dan Briggs,L,72,180,0.195,12,1
Joe Skalski,R,75,190,0,0,1
Doug Flynn,R,71,165,0.238,7,1
Bert Bradley,B,73,190,0,0,1
Ken Holtzman,R,74,175,0.163,2,1
Pete Ward,L,73,185,0.254,98,1
Kevin Bell,R,72,195,0.222,13,1
Tom Nieto,R,73,193,0.205,5,1
Duke Sims,L,74,197,0.239,100,1
Larvell Blanks,R,68,167,0.253,20,1
Francisco Barrios,R,71,155,0,0,1
Mike Davis,L,74,175,0.259,91,1
Jerry Reuss,L,77,200,0.167,1,1
Steve Yeager,R,72,190,0.228,102,1
Danny Goodwin,L,73,195,0.236,13,1
Bud Harrelson,B,71,160,0.236,7,1
Bob Knepper,L,75,195,0.137,6,1
Mickey Rivers,L,70,165,0.295,61,1
Jim Northrup,L,75,190,0.267,153,1
John Hale,L,74,195,0.201,14,1
Reggie Ritter,L,74,195,0,0,1
Pedro Garcia,R,70,175,0.22,37,1
Carl Yastrzemski,L,71,175,0.285,452,1
Bob Babcock,R,77,210,0,0,1
Craig Eaton,R,71,175,0,0,1
Derrel Thomas,B,72,160,0.249,43,1
Art Howe,R,74,190,0.26,43,1
Ike Brown,R,72,190,0.256,20,1
Howie Goss,R,76,204,0.216,11,1
Glenn Borgmann,R,76,210,0.229,16,1
Lamar Johnson,R,74,215,0.287,64,1
Julio Gonzalez,R,71,162,0.235,4,1
Bobby Klaus,R,70,170,0.208,6,1
Manny Sanguillen,R,72,193,0.296,65,1
Gates Brown,L,71,220,0.257,84,1
Johnny Ray,B,71,170,0.29,53,1
Jesus Alou,R,74,190,0.28,32,1
Ken Landreaux,L,70,165,0.268,91,1
Enos Cabell,R,76,170,0.277,60,1
Roy Branch,R,72,175,0,0,1
Billy North,B,71,185,0.261,20,1
Juan Beniquez,R,71,150,0.274,79,1
Frank Fernandez,R,72,185,0.199,39,1
Bombo Rivera,R,70,187,0.265,10,1
Steve Brye,R,72,190,0.258,30,1
Ron Jackson,R,72,200,0.259,56,1
Roger Metzger,B,72,165,0.231,5,1
Rufino Linares,R,72,170,0.27,11,1
Ray Webster,L,72,185,0.244,17,1
Bob Kearney,R,72,190,0.233,27,1
Fergie Jenkins,R,77,205,0.165,13,1
Dick Dietz,R,73,195,0.261,66,1
Ted Cox,R,75,195,0.245,10,1
Bobby Mitchell,L,70,170,0.243,3,1
Bobby Mitchell,R,75,185,0.235,21,1
Barry Evans,R,73,180,0.251,2,1
Mickey Brantley,R,70,180,0.259,32,1
Al Gallagher,R,72,180,0.263,11,1
Rob Woodward,R,75,185,0,0,1
Hector Cruz,R,71,170,0.225,39,1
Fred Norman,B,68,155,0.125,0,1
Woody Woodward,R,74,180,0.236,1,1
Ted Martinez,R,72,165,0.24,7,1
Jim Anderson,R,72,170,0.218,13,1
Lenn Sakata,R,69,160,0.23,25,1
Dave Duncan,R,74,190,0.214,109,1
Randy Jones,R,72,178,0.132,0,1
Dick Billings,R,73,195,0.227,16,1
Bob Veselic,R,72,175,0,0,1
Bruce Bochte,L,75,195,0.282,100,1
Bernie Carbo,L,71,173,0.264,96,1
Vic Davalillo,L,67,150,0.279,36,1
Burt Hooton,R,73,210,0.123,4,1
Chuck Hockenbery,B,73,195,0,0,1
Bob Ferris,R,78,225,0,0,1
Fernando Gonzalez,R,70,165,0.235,17,1
Jim Sundberg,R,72,190,0.248,95,1
Andy Kosco,R,75,205,0.236,73,1
Steve Huntz,B,73,204,0.206,16,1
Gary Wheelock,R,75,205,0,0,1
Lenny Faedo,R,72,170,0.251,5,1
John Lowenstein,L,72,175,0.253,116,1
Don Kessinger,B,73,170,0.252,14,1
Joe Hague,L,72,195,0.239,40,1
Bake McBride,L,74,190,0.299,63,1
Dick Davis,R,75,190,0.265,27,1
Richie Scheinblum,B,73,180,0.263,13,1
Ed Herrmann,L,73,195,0.24,80,1
Mike Rochford,L,76,205,0,0,1
Jeff Schneider,B,75,195,0,0,1
Bob Molinaro,L,72,190,0.264,14,1
Mike Hegan,L,73,188,0.242,53,1
Mike Diaz,R,74,195,0.247,31,1
Tim Foli,R,72,179,0.251,25,1
Alan Knicely,R,72,190,0.213,12,1
Tim Laudner,R,75,212,0.225,77,1
Jose Morales,R,71,187,0.287,26,1
Luis Encarnacion,R,70,178,0,0,1
Rick Kreuger,R,74,185,0,0,1
Juan Marichal,R,72,185,0.165,4,1
Vida Blue,B,72,189,0.104,4,1
Angel Moreno,L,69,165,0,0,1
Roger Weaver,R,75,190,0,0,1
Stan Papi,R,72,170,0.218,7,1
Rob Wilfong,L,73,180,0.248,39,1
Chris Knapp,R,77,195,0,0,1
Steve Henderson,R,74,190,0.28,68,1
Rob Picciolo,R,74,185,0.234,17,1
Don Welchel,R,76,205,0,0,1
Randy Wiles,L,73,185,0,0,1
Roberto Pena,R,68,170,0.245,13,1
Bob Dernier,R,72,160,0.255,23,1
Bill Melton,R,74,200,0.253,160,1
Albert Hall,B,71,155,0.251,5,1
Barbaro Garbey,R,70,170,0.267,11,1
John Milner,L,72,185,0.249,131,1
Rich Reese,L,75,185,0.253,52,1
Chris Bando,B,72,195,0.227,27,1
Bill Buckner,L,72,185,0.289,174,1
Jack Hiatt,R,74,190,0.251,22,1
Nelson Mathews,R,76,195,0.223,22,1
Larry Lintz,B,69,150,0.227,0,1
Ron Theobald,R,68,165,0.248,2,1
Dewey Robinson,R,72,180,0,0,1
Rafael Santana,R,73,165,0.246,13,1
Jerry Hairston,B,70,170,0.258,30,1
Tony Arnold,R,71,170,0,0,1
Jeff Schattinger,L,77,200,0,0,1
Ike Brookens,R,77,170,0,0,1
Tommie Aaron,R,75,190,0.229,13,1
Steve Dillard,R,73,180,0.243,13,1
Win Remmerswaal,R,74,160,0,0,1
Jeff Peterek,R,74,195,0,0,1
George Scott,R,74,200,0.268,271,1
Jeff Shaver,R,75,195,0,0,1
Ken Walters,R,73,180,0.231,11,1
Gorman Thomas,R,74,210,0.225,268,1
Paul Dade,R,73,185,0.27,10,1
Darrell Porter,L,72,193,0.247,188,1
Tim Johnson,L,73,170,0.223,0,1
Fred Stanley,R,70,165,0.216,10,1
Larry Bowa,B,70,155,0.26,15,1
Tim Corcoran,L,71,175,0.27,12,1
Jim Spencer,L,74,195,0.25,146,1
Pete LaCock,L,74,200,0.257,27,1
Carl Morton,R,72,200,0.156,7,1
Gary Gray,R,72,187,0.24,24,1
Matty Alou,L,69,160,0.307,31,1
Pete Filson,B,74,195,0,0,1
Jim Dwyer,L,70,165,0.26,77,1
Dalton Jones,L,73,180,0.235,41,1
Rennie Stennett,R,71,160,0.274,41,1
Jim Gideon,R,75,190,0,0,1
Jerry May,R,74,190,0.234,15,1
Rich McKinney,R,71,185,0.225,20,1
Clint Hurdle,L,75,195,0.259,32,1
Mike Andrews,R,75,195,0.258,66,1
Bobby Clark,R,72,190,0.239,19,1
Jeff Twitty,L,74,185,0,0,1
Cliff Johnson,R,76,215,0.258,196,1
Steve Cummings,B,74,200,0,0,1
Donn Clendenon,R,76,209,0.274,159,1
Charlie James,R,73,195,0.255,29,1
Bob Horner,R,73,195,0.277,218,1
Tom Veryzer,R,73,175,0.241,14,1
Jose Cecena,R,71,180,0,0,1
George Smith,R,70,170,0.205,9,1
Jim Essian,R,74,195,0.244,33,1
Onix Concepcion,R,66,160,0.239,3,1
Boots Day,L,69,160,0.256,8,1
Brian Giles,R,73,165,0.228,10,1
Garry Maddox,R,75,175,0.285,117,1
Alex Trevino,R,70,165,0.249,23,1
Jim Price,R,72,192,0.214,18,1
Felix Millan,R,71,172,0.279,22,1
Steve Garvey,R,70,192,0.294,272,1
